mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.020774650573730468,0.00047798543952840895,0.0027025222778320314,0.00014835149653696193,,10,"{'max_depth': None, 'n_estimators': 10}",1.0,1.0,0.9285714285714286,0.8928571428571429,1.0,0.9642857142857142,0.04517539514526254,9
0.09302372932434082,0.0007468021411032567,0.007058620452880859,0.00040022641664819246,,50,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9714285714285715,0.03499271061118824,5
0.18771519660949706,0.006575552947900641,0.016329526901245117,0.003425482374823128,,100,"{'max_depth': None, 'n_estimators': 100}",1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9785714285714286,0.028571428571428557,1
0.02000002861022949,0.00027766864398520415,0.002554464340209961,0.0002555903391433182,10,10,"{'max_depth': 10, 'n_estimators': 10}",1.0,1.0,0.9285714285714286,0.8928571428571429,1.0,0.9642857142857142,0.04517539514526254,9
0.0919642448425293,0.0028474334036296617,0.007382488250732422,0.0001133305204761173,10,50,"{'max_depth': 10, 'n_estimators': 50}",1.0,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9714285714285715,0.03499271061118824,5
0.19168572425842284,0.012026150612266725,0.01413412094116211,0.0008055111953854461,10,100,"{'max_depth': 10, 'n_estimators': 100}",1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9785714285714286,0.028571428571428557,1
0.02299818992614746,0.00322655894360636,0.0023562431335449217,3.8702437347851846e-05,20,10,"{'max_depth': 20, 'n_estimators': 10}",1.0,1.0,0.9285714285714286,0.8928571428571429,1.0,0.9642857142857142,0.04517539514526254,9
0.0945289134979248,0.004464569051196698,0.00727081298828125,0.000296626863322696,20,50,"{'max_depth': 20, 'n_estimators': 50}",1.0,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9714285714285715,0.03499271061118824,5
0.19288277626037598,0.02204831273504622,0.011780738830566406,0.0025443065586042445,20,100,"{'max_depth': 20, 'n_estimators': 100}",1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9785714285714286,0.028571428571428557,1
0.021645593643188476,0.0031139910961250662,0.0026929378509521484,0.0004966208754828743,30,10,"{'max_depth': 30, 'n_estimators': 10}",1.0,1.0,0.9285714285714286,0.8928571428571429,1.0,0.9642857142857142,0.04517539514526254,9
0.09076318740844727,0.0011068995937439504,0.008042383193969726,0.0010904192757032294,30,50,"{'max_depth': 30, 'n_estimators': 50}",1.0,1.0,0.9285714285714286,0.9285714285714286,1.0,0.9714285714285715,0.03499271061118824,5
0.13781771659851075,0.025302386496208466,0.007857465744018554,0.002098849707191494,30,100,"{'max_depth': 30, 'n_estimators': 100}",1.0,1.0,0.9285714285714286,0.9642857142857143,1.0,0.9785714285714286,0.028571428571428557,1
